Time(ms),Fhr1(BPM),Fhr2(BPM),Uc(TOCO)
250,126,0,9
500,126,0,9
750,126,0,10
1000,126,0,10
1250,126,0,10
1500,126,0,10
1750,127,0,10
2000,127,0,10
2250,127,0,10
2500,127,0,10
2750,128,0,10
3000,128,0,10
3250,127,0,10
3500,127,0,10
3750,127,0,11
4000,127,0,11
4250,127,0,11
4500,127,0,11
4750,126,0,11
5000,126,0,11
5250,126,0,11
5500,126,0,11
5750,125,0,11
6000,125,0,11
6250,125,0,11
6500,125,0,11
6750,125,0,11
7000,125,0,11
7250,125,0,11
7500,125,0,11
7750,125,0,11
8000,125,0,11
8250,124,0,11
8500,124,0,11
8750,124,0,11
9000,124,0,11
9250,125,0,11
9500,125,0,11
9750,125,0,11
10000,125,0,11
10250,125,0,12
10500,125,0,12
10750,124,0,13
11000,124,0,13
11250,123,0,13
11500,123,0,13
11750,123,0,14
12000,123,0,14
12250,124,0,15
12500,124,0,15
12750,125,0,16
13000,125,0,16
13250,125,0,17
13500,125,0,17
13750,125,0,17
14000,125,0,17
14250,125,0,19
14500,125,0,19
14750,125,0,20
15000,125,0,20
15250,126,0,21
15500,126,0,21
15750,126,0,22
16000,126,0,22
16250,126,0,23
16500,126,0,23
16750,126,0,24
17000,126,0,24
17250,126,0,25
17500,126,0,25
17750,126,0,26
18000,126,0,26
18250,126,0,27
18500,126,0,27
18750,126,0,28
19000,126,0,28
19250,126,0,29
19500,126,0,29
19750,127,0,30
20000,127,0,30
20250,126,0,31
20500,126,0,31
20750,126,0,31
21000,126,0,31
21250,127,0,32
21500,127,0,32
21750,128,0,33
22000,128,0,33
22250,127,0,33
22500,127,0,33
22750,126,0,34
23000,126,0,34
23250,126,0,35
23500,126,0,35
23750,126,0,36
24000,126,0,36
24250,126,0,36
24500,126,0,36
24750,125,0,37
25000,125,0,37
25250,125,0,38
25500,125,0,38
25750,125,0,39
26000,125,0,39
26250,125,0,40
26500,125,0,40
26750,125,0,41
27000,125,0,41
27250,126,0,43
27500,126,0,43
27750,126,0,44
28000,126,0,44
28250,128,0,45
28500,128,0,45
28750,129,0,47
29000,129,0,47
29250,128,0,48
29500,128,0,48
29750,127,0,49
30000,127,0,49
30250,127,0,51
30500,127,0,51
30750,127,0,52
31000,127,0,52
31250,128,0,53
31500,128,0,53
31750,128,0,54
32000,128,0,54
32250,128,0,55
32500,128,0,55
32750,128,0,56
33000,128,0,56
33250,128,0,57
33500,128,0,57
33750,129,0,58
34000,129,0,58
34250,129,0,59
34500,129,0,59
34750,129,0,60
35000,129,0,60
35250,129,0,61
35500,129,0,61
35750,130,0,61
36000,130,0,61
36250,131,0,62
36500,131,0,62
36750,131,0,63
37000,131,0,63
37250,132,0,64
37500,132,0,64
37750,132,0,64
38000,132,0,64
38250,133,0,65
38500,133,0,65
38750,134,0,66
39000,134,0,66
39250,136,0,67
39500,136,0,67
39750,138,0,68
40000,138,0,68
40250,140,0,69
40500,140,0,69
40750,141,0,69
41000,141,0,69
41250,141,0,70
41500,141,0,70
41750,141,0,71
42000,141,0,71
42250,142,0,72
42500,142,0,72
42750,142,0,73
43000,142,0,73
43250,143,0,74
43500,143,0,74
43750,144,0,74
44000,144,0,74
44250,143,0,76
44500,143,0,76
44750,144,0,76
45000,144,0,76
45250,145,0,77
45500,145,0,77
45750,146,0,78
46000,146,0,78
46250,147,0,80
46500,147,0,80
46750,149,0,80
47000,149,0,80
47250,150,0,80
47500,150,0,80
47750,152,0,80
48000,152,0,80
48250,153,0,79
48500,153,0,79
48750,154,0,79
49000,154,0,79
49250,155,0,78
49500,155,0,78
49750,155,0,77
50000,155,0,77
50250,154,0,76
50500,154,0,76
50750,154,0,75
51000,154,0,75
51250,155,0,75
51500,155,0,75
51750,156,0,74
52000,156,0,74
